population,phi,n,b1,b2,N,ch cov b,ch cov phi,fb cov b,fb cov phi,vg cov b,vg cov phi,hy cov b,hy cov phi,ch pow b,ch pow phi,fb pow b,fb pow phi,vg pow b,vg pow phi,hy pow b,hy pow phi,ch wid b,ch wid phi,fb wid b,fb wid phi,vg wid b,vg wid phi,hy wid b,hy wid phi,ch err,fb.err,vg err,hy err
3,3,100,2.3,0.7,10000,0.998,0.949,0.949,0.948,0.942,0.939,0.998,0.948,0.814,0.992,0.993,0.814,1,1,1,1,1.078,1.729,0.626,1.72,0.613,1.813,1.078,1.72,0,0,0,0
3,5,100,2.3,0.7,10000,1,0.951,0.95,0.955,0.933,0.816,1,0.955,0.196,0.926,0.927,0.196,1,1,1,1,1.797,2.881,0.809,2.917,0.805,3.46,1.797,2.917,0,0,0,0
1,1,1000,-3,3,10000,0.947,0.953,0.947,1,0.951,0.038,0.947,0.984,1,1,1,1,0.047,0,0.962,0.016,0.931,0.176,0.934,0.348,0.946,0.693,0.934,0.176,0,0,0.5459,0
1,3,1000,-3,3,10000,0.999,0.391,0.955,0.981,0.955,0.949,0.972,0.981,0.999,1,1,0.999,1,1,1,1,2.677,0.504,1.628,2.546,1.308,1.354,1.635,2.546,0,0,0,0
1,5,1000,-3,3,10000,1,0.287,0.955,0.972,0.951,0.947,0.975,0.972,0.869,1,1,0.869,1,1,1,1,4.326,0.813,2.114,5.491,1.517,2.956,3.994,5.491,0,0,0,0
2,3,1000,-3,3,10000,0.999,0.699,0.953,1,0.946,0.134,0.974,1,1,1,1,1,1,1,1,1,2.763,0.522,1.635,2.082,1.455,2.332,1.645,2.082,0,0,0,0
2,5,1000,-3,3,10000,1,0.687,0.956,1,0.944,0,0.981,1,0.929,1,1,0.929,1,1,1,1,4.619,0.869,2.133,4.262,1.913,8.719,4.401,4.262,0,0,0,0
3,3,1000,-3,3,10000,0.999,0.694,0.956,1,0.942,0.136,0.976,1,1,1,1,1,1,1,1,1,2.769,0.522,1.638,2.083,1.458,2.33,1.649,2.083,0,0,0,0
3,5,1000,-3,3,10000,1,0.686,0.953,1,0.945,0,0.977,1,0.93,1,1,0.93,1,1,1,1,4.624,0.867,2.138,4.245,1.916,8.724,4.399,4.245,0,0,0,0
1,1,1000,0.1,2.2,10000,0.949,0.954,0.949,0.967,0.953,0.033,0.949,0.965,1,1,1,1,0.046,0.033,0.967,0.035,0.239,0.176,0.239,0.189,0.243,0.625,0.239,0.176,0,0,0.5339,0
